ticker,alpha,ADV,optimal_AUM,trades_count
BCSB,4.384342174022159e-05,762643926.1675625,1671845.964629143,1601
YKEN,0.0003756203167547905,88698612.05882353,1665850.0378622785,669
TTLK,5.34686334017193e-05,606311594.7297298,1620932.6192907863,2284
KROTP,0.000422683912544145,71596713.78378378,1513138.955371652,688
DZRD,0.00038536692209322843,78205208.57142857,1506885.0259415195,870
MAGEP,0.0003160249430246994,94656257.42424242,1495686.9179713745,897
RUSI,0.0002596746432638509,112536099.8611111,1461138.5792869565,1349
OKEY,4.984098650119442e-05,570128675.2675675,1420788.7803977344,2538
RTSB,0.0003218299436482725,87191786.81818181,1403046.391914382,928
OMZZP,0.0006049764537876485,44441818.23529412,1344312.6797931744,489
WTCMP,0.00027284035957598216,97400357.54285714,1328737.4287411184,1085
ASSB,0.0003061951196721211,86576755.57142857,1325469.0016508773,877
VJGZP,0.0002808025622207206,93774902.64705883,1316611.6467646377,702
STSB,0.0004942995093440148,52514362.428571425,1297891.179097831,599
NAUK,0.00031007396966754213,83012007.14285715,1286993.129242804,877
KCHE,0.0003720592577746199,68477858.05555555,1273891.0521072887,711
SAGO,0.00037797393917986054,66027566.176470585,1247834.9641089754,667
DIOD,0.00018619431603697766,131521052.11428571,1224423.617144156,1269
KROT,4.093130642068945e-05,590039804.7368422,1207555.002404373,1712
KRSBP,0.00038552851989739705,60735888.24242424,1170770.854937777,690
KOGK,0.0016705605896379346,13958100.0,1165892.588311263,90
UNKL,5.499698258333906e-05,421476726.7567568,1158997.4100362055,1703
RZSB,0.00015000502469864922,151527789.1111111,1136496.4874071965,973
KLSB,5.487943509308305e-05,404189392.44736844,1109084.2764064015,1831
MAGE,0.0002667532019293165,82662406.22222222,1102523.0769479817,962
HIMCP,0.00016024568575000783,136131382.68421054,1090723.3385164028,1283
SLEN,0.00010086943358360397,214596645.31428573,1082312.103089678,1095
IRAO,9.297855770434435e-07,23180737078.20782,1077655.7500276903,4445
MISB,0.0006085064152178127,34254258.18181818,1042196.7926081804,438
APRI,0.00011988611569712739,171127997.056875,1025793.5427089094,1008
URKZ,0.0025717049284511443,7892220.833333333,1014823.1606754065,39
TASBP,0.0008842326521956035,22837171.25,1009668.6251516343,228
RTGZ,0.0009823943222188728,20310896.774193548,997665.483507068,188
RTSBP,0.00012177945893093022,163613869.1891892,996240.4231727727,1293
USBN,8.971431750765198e-05,220091618.83333334,987268.4686393391,1399
GEMA,3.677315767650902e-05,517353566.3235294,951236.2134459707,1722
RGSS,7.185622862478647e-05,263765253.6756757,947658.8185697077,1788
NNSB,0.0007843373326616912,23431602.8125,918914.0424972216,268
IGSTP,0.00046406268753324155,37887958.571428575,879119.393990263,601
CHKZ,0.00033188153551252534,52287450.0,867661.9597017197,349
LENT,6.254479252245907e-06,2711244199.256757,847871.0296011727,2834
SUGB,0.0005127121220274633,31404026.64285714,805061.257013314,75
CHMK,7.728912624327782e-05,202534736.2162162,782686.6398032054,1395
STSBP,0.0001254085382731685,120055852.35294117,752801.4477360845,750
VRSBP,0.00037422303141796054,39513014.222222224,739333.9981350495,717
RBCM,5.994554980446122e-06,2311787401.4473686,692906.8340539461,2590
NKNC,3.042783570003073e-05,441624731.3684211,671884.2383574262,2155
RDRB,0.00018966124028827442,66981403.03030303,635188.7987488027,735
KGKCP,0.0004618619296492159,25575786.96969697,590624.1161060757,495
MISBP,0.0002565181855367554,45423120.625,582592.8242071085,389
YKENP,0.00031302527990138,36321934.11764706,568484.1796867977,403
NNSBP,0.0009482428618082084,11123284.8,527378.7705729873,226
KGKC,0.00027326578315654327,37362203.6875,510490.5925559488,491
ABRD,9.477772639601568e-06,1056223755.4594594,500532.4305395441,2450
JNOSP,0.00025281522575309134,39282976.342857145,496566.7266186388,399
PAZA,0.000517994577261165,19093592.94117647,494518.88019807346,296
SARE,0.0002847255441205976,34436715.15151515,490250.6229620589,560
NKNCP,6.756307916563148e-06,1426603306.031579,481928.5605168158,2528
JNOS,0.00040141438912777563,22886677.5,459352.08339134534,380
KRSB,0.00014934925393670726,56638626.78787879,422946.83273846493,729
KRKN,0.0016349362434421096,5091036.666666667,416176.018151302,112
DZRDP,9.323345712639282e-05,86830131.14285715,404773.6654593319,682
YRSBP,0.0005190464090802599,15424671.0,400306.00468972104,323
GROD,0.00020696596089957387,38248948.375,395811.51769150345,537
MFGSP,0.0003062845733216566,24995478.23529412,382786.46931339067,356
TNSE,0.0001950701181223113,38789453.71428572,378333.1658972821,691
VJGZ,0.0001982290423301053,34983006.61764706,346732.39498219563,493
VGSBP,0.0004232313665867195,15653422.352941176,331250.96670971985,189
NKSH,2.9690337190454037e-05,205546165.85714287,305136.7486251781,984
MGTS,0.00020268752806363726,30043739.0625,304474.5602183532,484
MFGS,0.00020299195897824764,29769741.666666668,302150.9089596515,284
KCHEP,0.0002613551346998389,20334575.714285713,265727.2887435607,314
TORS,0.0005466308070922448,9134665.625,249664.48215557676,172
TORSP,0.00011892232517015931,38510379.705882356,228987.1948904623,329
IGST,0.00011569328687370217,37237222.42424242,215404.83281538668,476
MSNG,8.535302364965714e-07,4390362127.6875,187365.34125753512,4117
KRKOP,0.0001428755524208025,25442923.3125,181758.58617367758,341
VGSB,0.00012117558014237043,25525645.0,154654.24206915984,282
ETLN,1.771404846165082e-06,1703356483.1210525,150866.69644736714,2860
PRMB,0.0002275705953867684,11273787.096774194,128279.12209382853,126
AMRH,6.91393591009772e-05,30934553.371875,106939.75971032052,211
ARSA,1.7336499399800625e-05,120840456.29411764,104747.52490073022,912
GAZA,4.832976354118261e-05,39882776.25,96376.25727641968,437
SVETP,8.764541162443351e-06,182113138.45405406,79806.9049101151,2348
BISVP,4.81360174734252e-05,32747760.0625,78817.3375292018,732
KAZTP,7.819047899056951e-06,158429948.75,61938.5678960694,1243
ESGR,5.726332873925631e-06,160646418.375,45995.74333095865,176
NFAZ,4.772433989588592e-06,185354884.2857143,44229.69749507016,897
SAREP,1.2709120193569507e-05,33993707.72727273,21601.50586654908,379
YRSB,7.9019136684302e-06,8383356.363636363,3312.2279118569736,178
GAZAP,4.206951701326653e-06,14431591.06060606,3035.650328263359,356
